Time (s),ESC signal (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (kgf),f (N),w (rad/s),w^2 (rad/s)^2,Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Vibration (g),App message
1.9864625,1000,-0.0625,0.0209375,-1.015488281,0.0002464681332,-0.001891079883,0.01853258285,0,0,12.35413768,0.001068787768,0,0,0.05570449264,0,0,0,0,0.1061914063,
2.04023845,1175,-0.05060546875,0.00005859375,-1.003007813,0.0005744336718,-0.03578700358,0.3507126351,305.0486467,93054.67683,12.34562452,0.2732017714,2913,0,3.372845729,0.1753520907,5.207808734,0.342550811,0.01061872009,0.1206054688,
11.2014347,1269.444444,-0.04625,0.001171875,-1.005136719,0.0009945901246,-0.0761160106,0.7459369039,452.2846224,204561.3796,12.3221146,0.6984339494,4319,0,8.606181121,0.4498173259,5.229889206,0.1781542531,0.008847395946,0.1516992188,
19.43154135,1316.666667,-0.04958984375,0.0002734375,-1.003554688,0.001345611197,-0.09870756418,0.9673341289,513.4409594,263621.6187,12.30428489,0.9832053268,4903,0,12.09764007,0.6908913852,5.711369685,0.1472033143,0.008160179216,0.1735546875,
27.68313475,1363.888889,-0.04970703125,0.0007421875,-1.00359375,0.001557335251,-0.1228455466,1.203886356,575.2256149,330884.508,12.28197436,1.31424155,5493,0,16.14145991,0.8957844212,5.552590996,0.139454388,0.007613901659,0.3737304688,
35.9743441,1411.111111,-0.05150390625,0.0014453125,-1.002753906,0.001868272482,-0.1519783825,1.489388148,634.3922765,402453.5605,12.25239289,1.725154909,6058,0,21.13728108,1.18522225,5.607112663,0.1301800431,0.007190698474,0.51234375,
44.29250655,1458.333333,-0.0492578125,0.0027734375,-1.005996094,0.002167758091,-0.1840716408,1.80390208,690.626785,476965.3562,12.21739084,2.215501568,6595,0,27.06763734,1.497246012,5.532661826,0.1244021469,0.00680102862,0.4295898438,
52.51249185,1505.555556,-0.05025390625,-0.00076171875,-1.000703125,0.002442191764,-0.2259918844,2.214720467,745.7093762,556082.4738,12.17441524,2.811338012,7121,0,34.2263911,1.821141553,5.321524454,0.1253950239,0.00660331241,0.355703125,
60.7558993,1552.777778,-0.05099609375,0.0031640625,-1.005410156,0.003045715679,-0.2662538446,2.609287677,798.2786933,637248.8721,12.12173277,3.517776389,7623,0,42.64153812,2.431079455,5.701640038,0.1098907703,0.006244262168,0.2188085938,
68.998169,1600,-0.05267578125,-0.0004296875,-0.9992382813,0.003314418281,-0.3025438217,2.964929453,849.8008128,722161.4214,12.065434,4.298242383,8115,0,51.86014861,2.816648921,5.431229153,0.1078817388,0.005833928256,0.1922265625,